,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,total
2010,1932956,1937495,2002076,2010539,1993132,1988040,1993539,1979890,1971115,2018346,2044855,2010658,2009612,2014653,2022622,2060501,2098149,2123434,2184954,2236167,2236375,2146584,2098444,2065801,2082012,2111998,2058239,2101693,2112375,2097821,2136630,2015943,1981232,1969714,1913256,1973470,1922593,1961993,2051930,2175458,2197656,2089295,2050698,2062581,2103666,2236398,2290687,2297297,2299123,2336396,2355083,2288964,2283218,2268280,2196617,2183541,2108518,2036365,1963601,1914635,1874346,1828592,1815901,1898165,1414128,1405733,1381470,1423499,1254056,1161010,1108455,1050293,1021235,955622,927131,906202,828133,818297,799415,781047,770516,716517,695493,658352,611246,577265,526093,467538,420412,365740,306968,240204,205436,158944,127021,99410,75200,54165,37567,26098,45080,157246908
2011,1934662,1940953,1944262,2007855,2015652,1998032,1993056,1998703,1985022,1976329,2023700,2050346,2016274,2015188,2020511,2029232,2068223,2108044,2135439,2198074,2249479,2249762,2160911,2113845,2081610,2098160,2127121,2072215,2114658,2123762,2107849,2145409,2023524,1987958,1975827,1918802,1978063,1926500,1965266,2054401,2177053,2198606,2089536,2050420,2061964,2102341,2234112,2287490,2293361,2294419,2330745,2348894,2282146,2275881,2260319,2188106,2174752,2099226,2026802,1953600,1904344,1863365,1816309,1802270,1882604,1401714,1392310,1366682,1406762,1237782,1144397,1091024,1032041,1001679,935355,905517,882836,804306,792342,771252,750405,736884,681435,657136,617386,568257,531646,479400,421111,373650,320615,264760,203785,171054,129467,101421,77438,57123,40078,26995,47427,158356816
2012,1918828,1942336,1947592,1949981,2012988,2020418,2002786,1998086,2003845,1990297,1981743,2029338,2056039,2021656,2020770,2026735,2036584,2077863,2119630,2147693,2210631,2262957,2264179,2175939,2129527,2097367,2112998,2141291,2085170,2126133,2133834,2116673,2153047,2030325,1994079,1981173,1923571,1982198,1930040,1968104,2056368,2178015,2198919,2089473,2050081,2060732,2100124,2231187,2283858,2288921,2289226,2324763,2341945,2274709,2267873,2251670,2179161,2165374,2089451,2016783,1942942,1893143,1851375,1802987,1787670,1866323,1388480,1378097,1350814,1388824,1220454,1127132,1072873,1013036,981299,914365,882988,858483,779613,765388,741929,718584,702057,645056,617529,575428,524645,485897,433184,375802,328636,277841,225462,170574,140362,103744,79602,59221,42561,29076,50040,159456593
2013,1921535,1926975,1949474,1953937,1955716,2018270,2025457,2008054,2003689,2009475,1995722,1987192,2034851,2061499,2027450,2027258,2034495,2046345,2089550,2131812,2159505,2223571,2277560,2279500,2191358,2144936,2112322,2127054,2153980,2096829,2136839,2142681,2124301,2159798,2036219,1999361,1985882,1927787,1985704,1932840,1970063,2057646,2178476,2198626,2088835,2048742,2058600,2097525,2227734,2279475,2283715,2282991,2317543,2334346,2266574,2259005,2241925,2169077,2154864,2078654,2005438,1931061,1880731,1838238,1788473,1771753,1848421,1373973,1362270,1333184,1369092,1201673,1108114,1052801,991933,958751,891081,858000,831546,752272,735588,709699,683617,663667,605095,574405,530267,478290,437992,385521,329759,283679,235927,187731,139462,112249,80812,60670,43866,30672,52817,160511789
2014,1930276,1930380,1934959,1956678,1960508,1961786,2024017,2031240,2014018,2009689,2015514,2001620,1992903,2040800,2067872,2034823,2035999,2045266,2059277,2102909,2144467,2173240,2239095,2294201,2296658,2208092,2160935,2127935,2141274,2167038,2109158,2147071,2151219,2131991,2166689,2041918,2004540,1990584,1932127,1989243,1935367,1971748,2058648,2178522,2198197,2087839,2047150,2056499,2094544,2223762,2274365,2277644,2276180,2310001,2326238,2257827,2249462,2231799,2158615,2143935,2067173,1993446,1918720,1867631,1824321,1773145,1754867,1829304,1358618,1345551,1315036,1349006,1182405,1088386,1031931,970206,935564,867025,832232,803792,724198,705178,676828,647915,624660,564871,531525,485941,433504,392370,340775,287300,243041,198834,155024,113176,89087,62407,45887,32245,57108,161646584
2015,1946335,1939447,1938866,1942748,1963920,1967301,1968114,2030198,2037381,2020245,2016098,2021568,2007613,1999379,2047705,2075905,2043984,2047162,2058607,2072829,2116041,2158539,2189241,2256306,2311946,2314586,2225798,2178130,2143756,2155619,2180452,2120889,2157131,2160401,2140535,2174027,2048091,2010057,1995577,1936493,1992527,1938221,1973791,2059533,2178655,2197453,2086529,2045245,2053749,2091062,2218950,2268577,2271147,2269073,2302158,2317555,2248303,2239156,2220768,2147469,2132161,2054750,1980480,1905173,1853321,1808904,1756632,1736822,1808942,1341956,1327048,1294974,1326453,1160505,1065997,1008477,945734,909390,840109,803500,772881,693049,671357,640227,608465,581938,521350,485759,439309,386973,345651,295749,245335,203664,163635,124678,89392,68608,46611,33560,60309,162778769
2016,1933398,1955986,1948528,1947162,1950458,1971290,1974200,1974726,2036413,2043524,2026822,2022513,2027943,2014533,2006781,2056081,2085234,2055450,2060836,2072199,2085734,2129507,2173820,2205938,2273771,2329861,2332075,2243014,2194334,2158250,2168817,2192162,2131389,2167106,2169656,2148196,2180194,2053238,2014931,1999974,1939995,1995458,1940397,1974818,2059990,2178117,2196119,2084734,2042659,2050331,2086733,2213550,2262470,2264175,2261281,2293189,2307887,2238076,2228183,2208935,2135237,2119330,2041153,1966279,1890301,1837708,1792444,1738767,1717408,1786797,1323823,1307707,1274191,1302918,1137710,1042777,984055,920351,882464,812383,773806,741026,660912,636570,602871,568422,539010,478200,440868,394082,342516,301737,254143,207293,168701,133061,98874,69709,52122,34278,64381,163919526
2017,1902229,1942553,1964591,1956345,1954324,1957283,1977675,1980318,1980414,2042051,2049591,2032786,2028464,2034410,2021482,2014532,2064678,2095915,2068226,2073599,2084088,2097874,2143361,2189206,2222005,2289891,2345692,2347763,2257331,2207056,2169624,2178857,2200919,2139826,2175017,2176080,2153094,2184235,2057095,2018267,2002355,1942242,1996977,1940860,1974887,2059096,2176137,2193532,2081521,2038954,2045713,2081249,2207214,2255270,2256009,2252100,2283360,2297128,2226723,2216104,2195969,2121728,2105052,2026085,1950443,1873954,1820532,1774363,1719335,1695964,1762397,1304069,1286542,1251300,1277014,1112557,1017206,957388,892750,853067,782025,741500,706444,626160,599124,562828,525983,494138,433561,394985,348543,298458,258931,214326,171609,136630,105625,76276,52978,38489,67113,164939619
2018,1863680,1909808,1949783,1971149,1962288,1959933,1962556,1982758,1985136,1985278,2047367,2054730,2037934,2034103,2040331,2028123,2021917,2073767,2106545,2078346,2082669,2093452,2108756,2155373,2201671,2234325,2301893,2357474,2358252,2266509,2215152,2176604,2184999,2206709,2145351,2179365,2178997,2155169,2186317,2058898,2019210,2002979,1942294,1996003,1939799,1973132,2056436,2172644,2189307,2076952,2033691,2039732,2074772,2199745,2246722,2246386,2241746,2271979,2284890,2213882,2202100,2181027,2106462,2088873,2009293,1932867,1855724,1801724,1754148,1697549,1672708,1736152,1282744,1263573,1226632,1248969,1085389,989859,928953,863287,821605,749762,707340,669830,589682,560021,521445,482781,448790,389044,349996,304481,256601,219038,177960,139595,108573,82100,57593,39576,72153,165801767
2019,1847935,1871014,1916500,1955655,1976372,1967081,1964271,1966584,1986471,1988726,1989162,2051224,2058568,2042234,2038819,2045739,2034255,2029872,2083442,2115655,2086544,2091237,2103476,2119886,2167045,2213205,2245334,2312599,2366969,2366339,2273519,2220984,2181619,2189693,2210880,2148244,2181076,2180124,2156217,2186919,2058650,2018752,2002157,1940751,1994174,1937417,1970074,2052817,2168043,2184045,2071196,2027460,2033163,2067526,2191195,2236979,2235893,2230590,2259796,2271644,2199986,2187221,2165425,2090246,2071538,1991169,1914181,1836574,1781346,1731958,1674584,1647705,1707812,1259662,1238863,1199896,1218702,1056331,960647,898590,831640,788013,715575,671025,631230,551385,519340,479078,438887,403333,345227,306231,262383,217370,182384,145092,111417,84358,62607,42528,76850,166582199
