,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,total
2010,2018474,2020235,2088545,2101149,2084214,2076481,2079365,2063100,2054386,2106966,2142102,2104757,2103618,2104884,2122845,2170350,2214887,2252696,2305381,2334580,2331576,2240829,2187886,2150723,2161068,2176872,2102080,2134938,2134757,2112104,2167197,2026210,1985915,1963362,1908478,1974384,1907110,1934224,2027725,2148376,2189169,2073642,2031512,2030704,2074286,2201602,2238507,2237697,2235042,2262187,2290606,2209562,2196942,2170734,2091450,2075004,1984275,1909834,1838532,1779355,1742090,1691296,1678966,1753805,1291769,1272599,1239730,1270085,1105657,1006740,954011,903193,862490,794615,758805,725648,653554,630859,602784,573879,549207,496002,462695,422874,375568,337577,295335,253611,216238,180508,141449,104351,83529,60248,43883,31785,22059,14801,9519,6116,9357,152074758
2011,2028430,2025272,2026392,2093789,2105836,2089022,2081475,2084118,2067751,2058990,2111575,2146781,2109450,2108623,2110350,2129048,2178470,2226108,2265781,2320062,2348608,2344284,2252078,2198226,2160395,2169555,2184339,2109020,2141229,2140469,2117055,2171425,2029606,1989129,1965744,1910494,1975511,1907660,1934009,2027326,2146439,2186061,2070467,2028037,2026684,2069051,2195447,2231275,2229164,2225431,2251372,2278720,2196842,2182975,2155731,2075671,2058469,1967228,1892065,1820261,1760594,1723015,1671441,1657416,1730174,1272674,1252639,1218400,1246205,1083127,984581,931278,879727,837938,769821,732875,698428,626540,602282,572620,542150,515531,462132,427522,387107,340237,302468,261388,221563,186006,152981,117737,85403,66981,47250,33680,23857,16144,10576,6609,10086,153200058
2012,2007742,2035213,2031333,2031550,2098502,2110631,2093845,2086089,2088714,2072429,2063702,2116386,2151622,2114472,2114017,2116422,2136925,2189185,2238578,2279599,2335652,2366487,2361027,2267414,2212147,2173734,2182143,2195584,2119179,2150849,2148754,2124091,2177586,2034534,1993628,1969656,1913284,1977628,1909168,1934667,2027113,2145196,2183944,2067625,2024705,2022713,2064075,2189210,2223568,2220297,2215498,2239754,2265929,2183254,2168516,2139997,2059164,2040962,1949424,1873689,1801249,1740996,1702808,1650486,1635093,1705544,1252879,1231474,1195722,1221247,1060015,961908,907894,855507,812693,744422,706329,670628,598983,573200,541941,509869,481506,428143,392498,351909,305927,268803,229296,191703,158312,128197,96761,69018,52976,36519,25458,17619,11631,7438,10995,154374397
2013,2009723,2015723,2042266,2037080,2036786,2103606,2115669,2098702,2090824,2093577,2077248,2068627,2121390,2156778,2120133,2120554,2124732,2147890,2202317,2252503,2293011,2349719,2382114,2375526,2280370,2223785,2184668,2192738,2204716,2128019,2158981,2155665,2130183,2182397,2038339,1996920,1971608,1914850,1978571,1909770,1934381,2026212,2143029,2180536,2063864,2020098,2017467,2057945,2181521,2214626,2209926,2203729,2226815,2251960,2168596,2152468,2122609,2041380,2022021,1929868,1853735,1780760,1719700,1680534,1627262,1610777,1678735,1231442,1208751,1171554,1194603,1035021,937172,882397,829198,785326,716910,677682,640661,569368,541973,509094,475493,445431,392390,356145,315860,271248,235278,197825,162950,132138,105242,77739,54512,40871,27473,18699,12642,8125,12081,155481926
2014,2024511,2018511,2023752,2049250,2043524,2042790,2109355,2121426,2104331,2096379,2099044,2082837,2074284,2127295,2163481,2128005,2129926,2136674,2162067,2217880,2266443,2307026,2365020,2398094,2389695,2293154,2236230,2196861,2203973,2215152,2137789,2167380,2162988,2136230,2187295,2042247,1999878,1973855,1916729,1980094,1910458,1934049,2025176,2140743,2177253,2059693,2015105,2012086,2051253,2173307,2204826,2198637,2191544,2213244,2237015,2152616,2134990,2104109,2022236,2001946,1909232,1832255,1758688,1696966,1657468,1603525,1585782,1650800,1208893,1184909,1146390,1167386,1009237,911716,856210,802226,757396,688946,648503,610218,539342,510456,476098,441139,409758,357527,321150,281668,238929,204581,169506,137534,109487,85808,61989,42816,31340,20541,13659,9032,13577,156654424
2015,2037646,2033686,2027455,2031603,2056372,2050288,2049274,2115674,2127652,2110642,2102623,2105201,2088989,2080713,2134488,2171852,2137757,2142167,2151946,2178811,2233230,2282100,2324231,2382519,2414497,2404957,2307814,2250536,2210803,2217199,2227196,2149207,2177670,2171751,2143768,2193398,2046984,2003924,1976958,1919191,1981646,1911346,1934047,2024317,2138819,2173659,2055220,2010142,2006144,2044049,2164211,2194108,2187019,2178566,2198470,2220886,2135476,2116678,2084670,2001980,1980585,1887004,1809531,1735254,1672968,1633022,1578179,1558844,1621002,1184845,1159351,1119346,1137525,980959,883882,827643,772943,727116,658552,616966,577443,507160,476741,440956,404993,372726,321832,285851,247708,207332,175047,142774,114011,88959,68568,48328,32923,23470,14974,9716,15140,157856394
2016,2021375,2046917,2042821,2035822,2039292,2063743,2057368,2056162,2122435,2134371,2117362,2109229,2111926,2096018,2088194,2143008,2181895,2150433,2157283,2166851,2192342,2247247,2298202,2340787,2397259,2429189,2418731,2321256,2263237,2223146,2228761,2237451,2158725,2186077,2178768,2149440,2197620,2050259,2006645,1978902,1920356,1981958,1911380,1933036,2022431,2135071,2168933,2050041,2004055,1999132,2035354,2153938,2182466,2173868,2164002,2182301,2203669,2117206,2097127,2063789,1980277,1957574,1863642,1785455,1710189,1647666,1607266,1551600,1530621,1589376,1159546,1133067,1091640,1106903,952149,855489,798554,743149,696231,627670,585017,544272,474652,442897,406077,369517,336780,287642,252468,216017,178266,148319,119003,93480,71427,54153,37137,25023,17342,10752,16818,159021785
2017,1991761,2030158,2055454,2050601,2042956,2046169,2070343,2063821,2062510,2128762,2140695,2123508,2115480,2118463,2102915,2096137,2152331,2193641,2164276,2171262,2178179,2203473,2260438,2311190,2352507,2408439,2440127,2429026,2330947,2272664,2232060,2236927,2244791,2165132,2191323,2182394,2151639,2199204,2051139,2007158,1978497,1919588,1980704,1909671,1930498,2018318,2129798,2162731,2043303,1996817,1990382,2025426,2142574,2169029,2159267,2147855,2164843,2185083,2097500,2075620,2040951,1956852,1933173,1838568,1759632,1683898,1621183,1580214,1523322,1500466,1555995,1132830,1104996,1062058,1074347,921394,825248,767666,711430,663465,594980,551242,509339,440632,407835,370369,333632,300879,253925,220002,185635,150839,123545,97363,75157,56115,41824,27792,18593,12480,18550,160045920
2018,1951663,1999022,2037249,2061889,2056431,2048510,2051501,2075612,2069100,2067901,2134236,2145916,2128762,2120973,2124277,2109588,2103902,2161972,2205183,2175318,2179409,2186075,2212466,2269410,2318805,2359458,2415263,2446459,2434758,2336570,2277708,2236508,2240956,2247904,2167258,2192085,2182407,2151197,2197885,2049702,2004896,1975977,1916967,1977480,1905847,1925464,2012115,2122718,2154737,2035020,1987438,1979853,2013976,2129225,2154027,2142691,2130204,2145834,2164372,2075698,2052288,2016414,1931909,1906756,1811445,1731971,1656119,1593070,1550966,1493081,1468761,1520591,1104474,1075270,1031059,1039916,888872,793433,735169,678228,629215,560929,516271,473211,405936,372486,334727,298364,266018,221622,189376,157406,125813,101321,78393,59318,43250,31616,20350,13608,20885,160885734
2019,1935117,1958585,2005544,2043010,2066951,2061200,2052956,2055735,2079723,2073148,2071778,2138037,2149819,2132987,2125640,2129720,2116165,2112553,2172385,2214784,2183139,2187086,2195296,2221758,2277473,2325853,2365886,2421270,2451756,2439805,2340865,2281327,2239886,2243280,2249252,2167622,2191368,2181162,2149359,2195430,2046663,2001502,1972584,1913289,1973101,1900492,1919298,2005221,2114614,2145730,2025376,1976883,1968619,2001325,2114408,2137586,2125123,2111795,2125774,2142211,2052677,2027951,1991220,1905842,1879040,1783428,1703888,1627863,1564129,1520465,1462120,1435378,1483236,1074771,1044301,998390,1003690,854930,760170,701319,643638,593628,525766,480165,436527,371082,337306,299845,264191,232649,191220,160941,131684,103415,81893,61994,46046,32611,23543,14596,23472,161657324
