,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,total
1980,1739898,1618532,1569137,1581299,1528103,1552659,1519508,1587554,1626464,1824754,1820479,1764490,1726215,1777842,1834097,1960229,2039573,2063104,2087663,2230806,2178872,2145940,2133337,2138494,2086718,2070704,2018570,1988156,1862717,1953245,1874807,1839125,1838861,1953379,1465039,1472083,1468467,1554927,1344325,1319244,1268985,1208674,1197494,1157766,1156447,1130705,1118105,1137577,1103280,1187158,1212419,1184900,1217329,1221824,1241929,1248817,1232102,1228566,1216604,1207380,1161878,1114364,1074078,1051483,1043511,1040879,1002341,982889,942744,924838,868905,832793,798871,746014,723071,674786,634907,594410,552864,510795,465269,419060,372160,351063,321522,282046,249641,215792,182306,151366,123003,98077,76668,58817,44246,32313,22952,15905,10749,7243,11855,116825951
1981,1761743,1678106,1621040,1593945,1597794,1529390,1554826,1545290,1534256,1681894,1856121,1803781,1761785,1739800,1787260,1852070,1961068,2034707,2056322,2191701,2219444,2142473,2134033,2143999,2165000,2103958,2061325,2042784,1912158,1999462,1945556,1838490,1851858,1821954,2004801,1451285,1456532,1477474,1514254,1405094,1325446,1222205,1214355,1209703,1166539,1135375,1153164,1130318,1067150,1150907,1199826,1169535,1183692,1222436,1240821,1212366,1233792,1253525,1179412,1231841,1205090,1135524,1068741,1073396,1070052,1040159,1007270,994983,955999,943387,887572,851840,814280,763452,741704,693855,651898,610970,566506,524140,476096,429714,382617,358547,329106,286091,253809,222258,188786,160057,129131,103600,81585,63335,48201,35251,25296,17731,12032,8073,13407,117962782
1982,1779872,1703143,1680972,1643828,1610599,1598193,1530791,1578196,1491782,1592242,1707990,1836935,1799877,1774644,1747792,1803658,1852918,1960890,2028471,2162595,2179855,2182071,2127288,2142253,2173287,2178578,2094607,2084176,1961202,2056406,1987388,1905670,1849483,1835114,1869572,1984076,1434536,1465156,1432981,1590792,1406534,1278657,1226518,1224050,1220993,1145621,1151700,1165382,1061974,1118476,1158734,1157116,1167489,1189031,1241051,1210965,1200982,1253374,1199578,1198988,1227798,1176846,1093230,1067880,1092689,1063893,1008407,1001284,965673,958992,906070,870170,829916,780785,759955,713094,669273,628673,582695,539064,488935,441676,395048,368571,337247,295158,257732,226632,194533,168259,135787,109587,87466,68257,52445,38604,27916,19874,13560,9277,15006,119085049
1983,1781342,1723769,1705935,1701475,1660884,1610205,1598607,1551170,1521833,1553371,1614199,1689137,1832890,1812234,1781444,1762740,1804128,1856837,1954636,2136562,2151136,2143396,2161210,2132900,2173465,2183126,2169332,2115432,1997201,2113464,2039755,1945745,1915259,1834135,1883195,1851284,1958032,1443781,1415500,1515797,1586515,1359652,1282350,1234032,1238305,1199567,1156394,1163997,1095709,1117984,1121663,1117319,1154537,1172998,1206880,1210593,1203044,1218323,1195483,1224164,1193375,1197649,1137575,1091737,1087317,1082890,1033032,1003823,969107,970110,921093,887829,844136,797745,777556,731098,686058,646042,599048,555837,501652,454698,407658,378789,346984,303671,265491,229829,197162,175152,140768,114698,92816,73596,56532,41441,30436,21948,15173,10659,16736,120144998
1984,1744321,1729151,1727436,1724016,1719684,1660498,1610507,1617514,1495425,1590726,1572880,1595867,1686215,1845951,1819219,1796348,1763851,1812860,1851374,2062711,2124270,2115041,2118642,2162568,2166208,2179358,2174650,2188774,2024107,2157601,2092816,1996135,1954457,1901047,1882920,1865877,1825729,1970457,1391231,1506904,1507006,1537120,1362815,1287634,1250767,1216854,1205025,1168797,1095578,1160045,1117673,1081591,1114325,1160299,1190183,1176720,1205963,1218482,1157824,1224915,1216115,1162255,1162184,1135996,1111737,1074607,1052537,1029707,969352,974998,931811,901917,857547,813672,795096,748699,701251,662932,615146,572973,516738,467507,421531,389008,356564,313994,272609,236753,198808,179005,144500,118139,97056,78377,61017,44037,32281,23867,16678,12173,18505,121154641
1985,1796384,1697543,1734145,1743339,1743252,1719501,1660690,1627617,1558826,1570083,1608355,1554455,1594004,1699115,1852935,1834370,1797994,1777247,1807933,1956662,2049354,2088251,2086713,2118255,2198923,2169280,2173178,2193654,2092212,2194256,2133465,2047765,2004611,1942837,1952210,1866779,1838935,1839662,1891625,1489069,1493658,1463466,1539811,1366321,1307712,1230440,1216490,1218101,1102029,1166455,1154691,1078505,1078174,1120610,1177267,1160043,1175440,1220363,1154535,1191477,1214667,1183550,1132792,1160566,1157725,1095603,1046281,1050584,992694,977663,936931,912050,867446,828951,811630,766669,716501,678123,630744,589888,531986,483006,434915,400589,365707,323731,281765,243229,203982,182061,145391,120543,99750,81913,65091,47013,33888,25047,17928,13639,20957,122194261
1986,1806311,1751880,1703465,1747658,1763598,1742793,1719530,1675989,1567443,1642082,1584568,1588673,1553115,1606540,1706149,1868182,1836481,1815712,1772616,1912796,1943943,2015788,2056431,2085039,2157215,2198590,2165178,2190907,2093886,2271547,2164643,2086900,2055722,1994251,1995996,1937280,1838185,1853968,1758558,2038303,1473821,1453346,1465042,1539854,1390100,1286994,1223704,1229723,1149559,1178168,1156330,1113442,1073960,1084379,1136547,1146842,1161762,1187856,1152497,1192959,1179703,1180491,1157974,1130895,1183328,1137778,1067728,1045600,1010340,1003520,940074,916612,873139,840363,827223,783366,732026,693803,644539,606596,546980,498640,451232,411142,376561,332943,290007,252221,209305,189291,145948,120604,101873,84418,68018,49712,35946,26046,18398,14749,23800,123267728
1987,1808461,1765213,1758880,1714300,1768804,1763415,1742703,1733000,1613488,1659290,1656039,1564830,1587213,1565819,1613443,1720673,1870152,1859000,1810621,1878456,1900428,1913009,1981098,2051583,2125100,2153000,2194551,2180494,2088213,2279996,2238205,2116376,2094049,2046946,2049848,1981303,1905646,1854479,1766424,1910733,2006543,1436582,1454126,1463193,1570499,1368733,1273416,1237008,1161619,1235258,1163817,1115041,1108496,1080795,1099342,1106418,1151402,1172314,1117848,1196202,1179214,1144965,1159358,1155736,1153527,1159511,1110755,1067968,1003364,1023173,966050,919645,873927,848210,839401,799655,746476,710134,659514,621827,562126,514646,468381,425366,386438,344478,297753,259976,217133,197381,150689,120678,102010,86779,70448,51570,37943,27631,18951,15131,26258,124328109
1988,1834875,1771621,1774455,1768221,1736860,1769553,1763866,1754242,1668526,1714636,1670111,1634533,1564807,1600753,1573269,1628030,1724059,1899073,1854826,1923024,1868622,1871916,1878081,1976197,2094664,2119272,2151372,2209097,2075641,2281253,2241832,2187389,2123474,2088027,2105617,2036030,1948079,1923441,1760823,1931861,1873191,1960815,1437330,1450720,1495767,1546601,1348108,1287034,1170520,1255279,1215697,1122844,1109967,1116126,1096022,1069747,1113649,1160593,1099744,1165583,1180242,1143873,1129620,1156856,1179742,1127691,1133585,1113002,1022314,1018683,984833,945157,873140,850720,847290,811697,759608,724691,674129,637573,574500,529523,484680,438902,398987,353323,306309,265800,222118,206723,154752,123903,101381,86181,71954,52391,38748,28910,19634,15438,27476,125413444
1989,1885683,1799811,1781493,1780542,1791668,1737305,1769440,1772664,1687183,1779796,1723519,1647569,1634151,1578173,1607599,1587227,1631424,1756034,1893402,1972245,1911479,1840219,1832456,1870029,2019199,2084066,2118399,2163182,2099579,2275241,2238449,2190140,2192941,2118948,2149020,2092267,2000075,1967513,1822013,1940520,1888349,1834717,1960178,1432323,1485083,1473773,1515907,1362430,1219998,1270774,1229748,1172861,1116562,1118439,1131036,1066049,1079520,1121069,1084871,1151660,1148346,1144157,1133314,1127417,1181738,1150159,1104517,1137856,1063483,1040245,981472,964113,894612,852986,850887,820601,769542,739123,688406,654656,589228,543280,501545,452990,412426,367136,313849,274181,226798,214677,161381,127832,105184,86339,71650,53274,39432,29734,20637,16224,28278,126541715
